"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.39988410622301e-133,0.759337766004225,0.423,0.298,1.4140117153866e-128,"LPS-P","MT2A"
1.64785267726083e-126,0.636519529505036,0.459,0.329,9.70914797442084e-122,"LPS-P","KRT17"
1.68210582100681e-121,0.696498288528739,0.388,0.272,9.91096749737212e-117,"LPS-P","LAMB3"
5.92673032855085e-119,0.805300232744757,0.302,0.192,3.49202950958216e-114,"LPS-P","CD59"
1.48309008915128e-118,0.796973393005247,0.35,0.237,8.73836680527933e-114,"LPS-P","LAMC2"
3.09911260406739e-114,0.751025118657047,0.336,0.226,1.82599714631651e-109,"LPS-P","TINAGL1"
7.02214103575697e-113,0.926881325830335,0.261,0.159,4.137445498268e-108,"LPS-P","F3"
1.93027260649838e-109,0.566591337107749,0.474,0.353,1.13731661974885e-104,"LPS-P","ANXA1"
5.68883338012721e-108,0.569580301492493,0.399,0.281,3.35186062757095e-103,"LPS-P","TACSTD2"
1.66201717846262e-107,0.59197131544571,0.413,0.297,9.79260521550176e-103,"LPS-P","B2M"
1.53674932699013e-104,0.588754526734377,0.377,0.263,9.05452703462582e-100,"LPS-P","ATF3"
1.59390214955631e-104,0.512541115506925,0.437,0.317,9.39127146518578e-100,"LPS-P","TMSB4X"
9.2869564132466e-103,0.578166890147696,0.398,0.286,5.4718747186849e-98,"LPS-P","S100A14"
4.82858725033772e-102,0.809296297580371,0.28,0.18,2.84500360789899e-97,"LPS-P","ALDH1A3"
1.892437785751e-101,0.628974603470713,0.301,0.195,1.11502434336449e-96,"LPS-P","MYO1E"
3.07562367479512e-101,0.831232027924918,0.252,0.155,1.81215746918928e-96,"LPS-P","HAS2"
3.22991127737694e-101,0.589036866705745,0.404,0.294,1.9030637246305e-96,"LPS-P","RND3"
5.68038462818469e-101,0.556445986483745,0.382,0.266,3.34688262292642e-96,"LPS-P","TM4SF1"
2.54638459872031e-100,0.633990450103612,0.322,0.215,1.50032980556601e-95,"LPS-P","ATP1B1"
2.33082886148446e-99,0.753811359628425,0.286,0.186,1.37332436518664e-94,"LPS-P","SEMA3A"
5.12873695184477e-96,0.730608586243453,0.258,0.162,3.02185181202694e-91,"LPS-P","HLA-B"
2.9734589171608e-95,0.49908079255415,0.389,0.277,1.75196199399115e-90,"LPS-P","HMGA1"
3.45792449015588e-94,0.718365616489139,0.257,0.161,2.03740910959984e-89,"LPS-P","LSR"
1.97912462934308e-93,0.40504736539175,0.548,0.431,1.16610023160894e-88,"LPS-P","S100A11"
7.6062979240913e-93,0.505970600354063,0.413,0.303,4.48163073687459e-88,"LPS-P","CD44"
2.00295846217929e-91,0.272912673737545,0.831,0.746,1.18014312591604e-86,"LPS-P","TMSB10"
9.25875541683209e-91,0.472949568821401,0.433,0.321,5.45525869159746e-86,"LPS-P","ANXA2"
1.36234530201328e-90,0.547976664842849,0.357,0.25,8.02693851946226e-86,"LPS-P","FXYD5"
8.66620962162003e-90,0.51908496781924,0.365,0.258,5.10613070905852e-85,"LPS-P","LRRFIP1"
3.28940644552539e-89,0.468753147496064,0.409,0.298,1.93811827770356e-84,"LPS-P","TPM4"
3.68694107795298e-89,0.670520133487888,0.268,0.173,2.17234568312989e-84,"LPS-P","CDH3"
2.54326722005085e-88,0.553677866617299,0.35,0.245,1.49849304605396e-83,"LPS-P","INPP4B"
1.52657681129938e-87,0.589512850491444,0.324,0.224,8.99459057217597e-83,"LPS-P","SEMA3C"
