"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPSAP29",6.40249760324333e-161,1.252544807781,0.253,0.131,3.77235158783097e-156,"0","RPSAP29"
"LOC124901354",1.73622354940317e-157,1.2647558656705,0.25,0.13,1.02298291530835e-152,"0","LOC124901354"
"EIF3EP3",2.59957365118716e-157,1.30457325719903,0.275,0.154,1.53166879527947e-152,"0","EIF3EP3"
"RPS3AP44",7.19419866671877e-151,1.24661123225382,0.25,0.133,4.2388218544307e-146,"0","RPS3AP44"
"RPL15",2.29689606421323e-150,0.566551179654115,0.707,0.793,1.35333116103444e-145,"0","RPL15"
"RPL13AP22",2.12171763656528e-148,1.14679683087076,0.277,0.156,1.25011603146426e-143,"0","RPL13AP22"
"HSPA8P5",7.56630453554765e-147,1.13222073476075,0.271,0.151,4.45806663234467e-142,"0","HSPA8P5"
"PCBP1",2.71251354370575e-144,0.850299308861443,0.543,0.475,1.59821297995143e-139,"0","PCBP1"
"RPL36P5",1.17930847617627e-143,1.19248558147327,0.264,0.147,6.94848554163056e-139,"0","RPL36P5"
"RPS20P26",1.72623813020614e-141,1.15544393247062,0.267,0.151,1.01709950631746e-136,"0","RPS20P26"
"CCT2",1.29151511093729e-140,0.833539485017876,0.563,0.534,7.60960703364251e-136,"0","CCT2"
"RPS15P4",9.1953517400194e-140,1.05578900294714,0.358,0.24,5.41790124521943e-135,"0","RPS15P4"
"SERBP1",6.8528274805166e-139,0.684086047083799,0.638,0.663,4.03768595152038e-134,"0","SERBP1"
"PLK2",1.06990368853213e-133,1.22412944242507,0.407,0.325,6.30387253283128e-129,"0","PLK2"
"LOC100134362",1.35287688099888e-133,1.09784362216189,0.269,0.154,7.97115058284543e-129,"0","LOC100134362"
"RPL17P36",4.40040890120695e-133,1.28961472346686,0.257,0.149,2.59272092459113e-128,"0","RPL17P36"
"TPT1P9",2.83722732302185e-129,1.0861553268817,0.282,0.169,1.67169433872448e-124,"0","TPT1P9"
"RPL27",2.74313291239908e-128,0.536699439293995,0.712,0.795,1.61625391198554e-123,"0","RPL27"
"HSP90AA2P",5.82969881838191e-126,0.664356820293216,0.43,0.291,3.43485854379062e-121,"0","HSP90AA2P"
"RPS2P1",1.59241638446726e-122,1.03143332631839,0.273,0.162,9.38251733728108e-118,"0","RPS2P1"
"HSP90AB3P",2.57302359664231e-122,0.876033230612272,0.341,0.223,1.51602550314165e-117,"0","HSP90AB3P"
"RPL36AL",2.64713589083055e-119,0.623209752050297,0.657,0.731,1.55969246687736e-114,"0","RPL36AL"
"RPL36AP37",2.72891634477707e-117,1.21772918162926,0.297,0.197,1.60787751034265e-112,"0","RPL36AP37"
"NDUFA6",5.24519376093645e-116,1.0870031303714,0.363,0.269,3.09046816394376e-111,"0","NDUFA6"
"RPL26P19",9.61743646563978e-115,1.22958410522033,0.306,0.209,5.66659356555496e-110,"0","RPL26P19"
"RPS2P24",1.31157874931597e-109,0.982451647586831,0.262,0.158,7.7278219909697e-105,"0","RPS2P24"
"RPL9",5.9344968794727e-104,0.564106439752888,0.653,0.742,3.49660556138531e-99,"0","RPL9"
"EIF3A",3.55567299908215e-93,0.703505951841017,0.591,0.649,2.0950025310592e-88,"0","EIF3A"
"GNA12",3.27432194950329e-92,1.13076877030779,0.349,0.277,1.92923049264734e-87,"0","GNA12"
"RPS2P53",8.37819641213487e-87,0.890380548606637,0.25,0.158,4.93643332602987e-82,"0","RPS2P53"
"TUBA1A",1.15128239171538e-86,0.440774368800732,0.587,0.509,6.78335585198701e-82,"0","TUBA1A"
"KLF4",1.18718370472831e-82,0.804095102329542,0.424,0.359,6.99488638825922e-78,"0","KLF4"
"RPL32",1.3236546252319e-82,0.351493005161101,0.818,0.88,7.79897305186634e-78,"0","RPL32"
"EIF4B",2.57266383123802e-79,0.281220991493366,0.152,0.298,1.51581352936544e-74,"0","EIF4B"
"FN1",3.47494844170491e-78,0.558166498621536,0.371,0.271,2.04743962185253e-73,"0","FN1"
"CWC22",5.61789899437967e-70,0.90662900760652,0.32,0.248,3.3100660874885e-65,"0","CWC22"
"RPS28P7",6.11942546765685e-69,1.04898162858259,0.272,0.201,3.60556548554341e-64,"0","RPS28P7"
"TUBA4A",5.08010276713884e-68,0.43936526705137,0.602,0.59,2.99319655039821e-63,"0","TUBA4A"
"EIF2S2",1.63705218614771e-66,0.267487494345838,0.145,0.273,9.64551148078228e-62,"0","EIF2S2"
"CNBP",2.96622601509374e-65,0.693531804120436,0.524,0.544,1.74770036809323e-60,"0","CNBP"
"EEF1A1",3.4072021537012e-64,0.664309653490738,0.56,0.649,2.00752350896075e-59,"0","EEF1A1"
"RPL27A",3.67430496060211e-64,0.476615053448191,0.658,0.771,2.16490048278676e-59,"0","RPL27A"
"UBE2B",1.4629737090168e-63,0.862432774482052,0.433,0.415,8.61984109352698e-59,"0","UBE2B"
"COX5BP1",3.19609999561316e-62,0.573861048934045,0.326,0.24,1.88314211741527e-57,"0","COX5BP1"
"SF3B1",1.33999688923549e-59,0.719813279571459,0.483,0.486,7.89526167137549e-55,"0","SF3B1"
"CCT4",6.25928510950527e-58,0.306924086974363,0.195,0.343,3.68797078652051e-53,"0","CCT4"
"HSPA9",3.7321237324115e-56,1.17829965119473,0.326,0.29,2.19896730313686e-51,"0","HSPA9"
"HSP90AB1",1.4348378203642e-54,0.260862871887225,0.848,0.918,8.45406443758587e-50,"0","HSP90AB1"
"EIF3D",5.11579903997237e-54,0.929600875657844,0.388,0.366,3.01422879435172e-49,"0","EIF3D"
"RPS18",4.65639031418467e-53,0.280124157277863,0.856,0.897,2.7435451731176e-48,"0","RPS18"
"ACTBP2",9.47925415653119e-53,0.422380669653791,0.375,0.286,5.58517654902818e-48,"0","ACTBP2"
"HNRNPA3",2.02850512201917e-51,0.537575921413508,0.544,0.551,1.1951952178937e-46,"0","HNRNPA3"
"RPL36A",1.18941945764517e-50,1.13866106402491,0.31,0.272,7.00805944444534e-46,"0","RPL36A"
"BRD1",1.86341134244115e-49,0.862883919422871,0.322,0.275,1.09792196296633e-44,"0","BRD1"
"COPB2",6.4583563508071e-48,0.29908752578525,0.165,0.28,3.80526356189555e-43,"0","COPB2"
"SLC25A4",4.44762721636561e-46,0.560877424060769,0.319,0.25,2.62054195588261e-41,"0","SLC25A4"
"CCT6A",1.14749861118888e-45,0.262716551395794,0.245,0.404,6.76106181712486e-41,"0","CCT6A"
"PAPOLA",1.17374258873651e-44,0.286834579231914,0.171,0.287,6.91569133283549e-40,"0","PAPOLA"
"PAFAH1B1",4.10663537294306e-44,0.259480436488586,0.217,0.355,2.41962956173805e-39,"0","PAFAH1B1"
"EIF3H",5.13349644595977e-44,0.606479928509247,0.541,0.634,3.0246561059595e-39,"0","EIF3H"
"PDCD5",5.41723725664788e-42,0.385829793540104,0.155,0.261,3.19183619161693e-37,"0","PDCD5"
"POLR1D",6.79059143883908e-42,0.291818466531383,0.285,0.469,4.00101647576399e-37,"0","POLR1D"
"TUBB",2.59225071826907e-41,0.607780973474162,0.525,0.572,1.52735412320413e-36,"0","TUBB"
"RSBN1",3.14461005013131e-41,0.790177478063803,0.257,0.202,1.85280424153737e-36,"0","RSBN1"
"ETF1",2.32369767296716e-39,0.262900947124595,0.204,0.327,1.36912266891225e-34,"0","ETF1"
"CCT8",3.56279620205481e-39,0.346431376712379,0.157,0.259,2.09919952225069e-34,"0","CCT8"
"EIF3K",1.19682337923724e-38,0.41778647661342,0.195,0.318,7.05168335046579e-34,"0","EIF3K"
"PPP1R14B",1.58659713536682e-38,0.3231472877457,0.172,0.28,9.34823032158128e-34,"0","PPP1R14B"
"QKI",1.05180317990143e-35,0.278744166862939,0.207,0.327,6.19722433597924e-31,"0","QKI"
